ID, Y, X, City, 1cm, 1cmyear, 100cm, 100cmyear, Date
1326,13,26,原町,0.24,0.66144,0.15,0.1884,2019-04
1327,13,27,原町,0.15,0.1884,0.15,0.1884,2019-04
1328,13,28,原町,0.16,0.24096,0.17,0.29352,2019-04
1329,13,29,原町,0.14,0.13584,0.15,0.1884,2019-04
1330,13,30,原町,0.15,0.1884,0.2,0.4512,2019-04
1331,13,31,原町,0.1,-0.0744,0.13,0.08328,2019-04
1332,13,32,原町,0.2,0.4512,0.27,0.81912,2019-04
1333,13,33,原町,0.15,0.1884,0.15,0.1884,2019-04
1334,13,34,原町,0.19,0.39864,0.18,0.34608,2019-04
1335,13,35,原町,0.2,0.4512,0.16,0.24096,2019-04
1336,13,36,原町,0.25,0.714,0.22,0.55632,2019-04
1337,13,37,原町,0.25,0.714,0.17,0.29352,2019-04
1338,13,38,小高,0.15,0.1884,0.18,0.34608,2019-04
1339,13,39,小高,0.17,0.29352,0.16,0.24096,2019-04
1340,13,40,小高,0.11,-0.02184,0.16,0.24096,2019-04
1341,13,41,小高,0.14,0.13584,0.11,-0.02184,2019-04
1342,13,42,小高,0.22,0.55632,0.18,0.34608,2019-04
1343,13,43,小高,0.17,0.29352,0.14,0.13584,2019-04
1344,13,44,小高,0.17,0.29352,0.22,0.55632,2019-04
1345,13,45,小高,0.16,0.24096,0.22,0.55632,2019-04
1346,13,46,小高,0.12,0.03072,0.15,0.1884,2019-04
